	parent	child	lambda_val	child_size
220	620	247	13.791165677940077	1
221	620	253	13.791165677940077	1
222	620	470	13.791165677940077	1
223	620	532	13.791165677940077	1
224	629	502	6.508107617532828	1
225	623	25	1.603301657978205	1
226	614	164	5.181669639953067	1
227	624	80	7.893115581818335	1
228	625	125	8.228689219612328	1
229	625	163	8.228689219612328	1
230	625	62	8.228689219612328	1
231	626	493	9.243642924642886	1
232	630	254	3.2773674788716423	1
233	631	133	2.867230226610142	1
234	608	121	10.06998629184831	1
235	612	228	11.97636651324244	1
236	629	65	6.529096068776658	1
237	623	197	1.6480580818895392	1
238	614	544	5.256233321110461	1
239	624	393	7.893115581818335	1
240	625	340	8.228689219612328	1
241	626	158	9.296361796441417	1
242	630	446	3.3218790140671977	1
243	631	515	2.970796590654507	1
244	608	332	10.150504062952715	1
245	612	513	12.191753024122386	1
246	629	571	6.537575854787245	1
247	623	93	1.7022888127684546	1
248	614	1	5.54383362688315	1
249	624	374	8.844108686945217	1
250	624	277	8.844108686945217	1
251	624	459	8.844108686945217	1
252	624	359	8.844108686945217	1
253	625	397	8.23256460822736	1
254	626	530	9.828410734880054	1
255	630	632	3.424048644943633	17
256	630	633	3.424048644943633	45
257	631	76	3.023755871039559	1
258	608	432	10.233718490055503	1
259	612	183	13.03003169810021	1
260	629	248	6.616566743146346	1
261	623	216	1.7189115447645753	1
262	614	58	5.549151360732043	1
263	625	300	8.310787135760945	1
264	626	567	9.897459408479538	1
265	632	439	3.424048644943633	1
266	633	53	3.6935082212333263	1
267	631	305	3.0799581009309156	1
268	608	299	10.341801908842585	1
269	612	606	13.842446773678619	1
270	629	301	6.788560022720144	1
271	623	559	1.7549838174231973	1
272	614	314	5.562734140185853	1
273	625	389	8.902415850609035	1
274	626	311	10.540365518665762	1
275	632	268	4.162929898482407	1
276	633	152	3.7983035908732683	1
277	631	35	3.1167266769251425	1
278	608	206	10.726908770054392	1
279	612	475	14.775573540165288	1
280	629	179	6.905781485671791	1
281	623	597	1.7608147387056838	1
282	614	189	5.633199890790151	1
283	625	126	9.197647656627026	1
284	626	171	10.776937771463533	1
285	626	380	10.776937771463533	1
286	626	117	10.776937771463533	1
287	626	38	10.776937771463533	1
288	632	294	4.613619743893881	1
289	633	170	3.861164449020003	1
290	631	533	3.1220035299722655	1
291	608	342	10.738033125879781	1
