Uniprot ID	F1.mitosis.intensity.mean	F2.mitosis.intensity.mean	F3.mitosis.intensity.mean	F4.mitosis.intensity.mean	F5.mitosis.intensity.mean	F6.mitosis.intensity.mean	F7.mitosis.intensity.mean	F8.mitosis.intensity.mean	F9.mitosis.intensity.mean	F10.mitosis.intensity.mean	F11.mitosis.intensity.mean	F12.mitosis.intensity.mean	F13.mitosis.intensity.mean	F14.mitosis.intensity.mean	F15.mitosis.intensity.mean	F16.mitosis.intensity.mean	F17.mitosis.intensity.mean	F18.mitosis.intensity.mean	F19.mitosis.intensity.mean	F20.mitosis.intensity.mean	F21.mitosis.intensity.mean	F22.mitosis.intensity.mean	F23.mitosis.intensity.mean	F24.mitosis.intensity.mean	F25.mitosis.intensity.mean	F26.mitosis.intensity.mean	F27.mitosis.intensity.mean	F28.mitosis.intensity.mean	F29.mitosis.intensity.mean	F30.mitosis.intensity.mean	F31.mitosis.intensity.mean	F32.mitosis.intensity.mean	F33.mitosis.intensity.mean	F34.mitosis.intensity.mean	F35.mitosis.intensity.mean	F36.mitosis.intensity.mean	F37.mitosis.intensity.mean	F38.mitosis.intensity.mean	F39.mitosis.intensity.mean	F40.mitosis.intensity.mean	F41.mitosis.intensity.mean	F42.mitosis.intensity.mean	F43.mitosis.intensity.mean	F44.mitosis.intensity.mean	F45.mitosis.intensity.mean	F46.mitosis.intensity.mean	F47.mitosis.intensity.mean	F48.mitosis.intensity.mean	F49.mitosis.intensity.mean	F50.mitosis.intensity.mean	F51.mitosis.intensity.mean	F52.mitosis.intensity.mean	F53.mitosis.intensity.mean	F54.mitosis.intensity.mean	F55.mitosis.intensity.mean	F56.mitosis.intensity.mean	F57.mitosis.intensity.mean	F58.mitosis.intensity.mean	F59.mitosis.intensity.mean	F60.mitosis.intensity.mean	F61.mitosis.intensity.mean	F62.mitosis.intensity.mean	F63.mitosis.intensity.mean	F64.mitosis.intensity.mean	F65.mitosis.intensity.mean
Q9P2D3	3258.199075	4998.369445	18706.59392	23881.97574	26420.30154	25666.25386	34609.64645	57354.70937	67796.52804	84709.31305	64121.15701	46787.97785	21304.48357	11468.10106	6320.869971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9P2E5	81621.03066	111757.6458	108316.4829	75664.12926	45392.77066	37410.65821	18563.10424	24282.6831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9P2E9	205156.448	378585.437	278982.8656	139504.0944	85871.92769	76752.91761	74783.48474	62765.80309	34758.99159	26670.44977	13761.38378	5449.129828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9P2I0	107981.4889	234992.8817	259385.2815	236571.6415	182081.7175	156747.8194	151806.2986	134961.3712	110070.5837	103453.5753	103698.925	96317.60014	88542.9492	79990.0492	78930.09194	70742.66595	53930.3108	53722.05373	39936.95929	31122.51401	22107.6796	4064.282231	0	0	0	0	0	0	11176.46195	6251.247526	38309.78215	80915.36718	106952.4686	126956.8892	140976.0323	118265.5147	84672.0129	49238.92418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9P2J5	705180.3959	1828618.731	2275914.122	2065558.441	1391002.17	1254168.436	748687.785	1495230.24	1256302.641	1335898.442	1358475.644	1040357.7	767569.3412	650094.2144	559352.6306	521132.4109	397229.491	359786.7621	301600.7155	309686.9617	290304.7058	230518.3594	195343.0493	174110.6381	145667.9081	130287.6641	111208.3496	127622.5492	123711.2104	138366.404	124242.1869	159567.0558	169528.2856	168158.7021	149247.5175	140514.5964	151354.1981	251390.4747	497352.759	498212.6121	290426.2512	159308.0631	99712.53106	70479.81436	60800.31982	59137.48894	20544.93814	0	0	0	19790.20013	14604.90249	28237.42463	23780.39202	45274.33597	38948.5593	51920.9273	60558.74483	51709.60703	42833.62981	41439.5719	53749.02184	42678.95973	49061.37072	58133.67172
Q9P2K2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9P2K6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6047.861702	11243.32152	29310.84466	38134.52062	41550.14123	49740.9959	75974.20956	87331.4425	106587.7368	85448.82169	55421.49747	18605.00618	6050.390173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9P2K8	0	0	0	0	0	10188.91394	13109.99596	10353.42734	0	0	0	0	0	0	0	0	5263.589853	19499.52637	21128.99762	85437.45726	161407.1543	267272.4161	242753.2896	154790.7787	103755.9563	79755.8529	52419.64861	7792.123781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9P2N5	29880.65456	66256.27181	66098.0008	49247.3035	37602.89554	28353.0119	30709.72809	30858.2367	27593.03851	20922.8187	20381.12019	13535.38563	12218.09643	8511.532055	9650.156092	6355.629452	7328.426033	8010.534718	8002.60002	9487.863095	14844.44076	17328.82424	11333.89198	8311.297103	0	0	0	12775.3444	21082.5209	23870.13233	28512.46224	32480.30348	30489.35667	31557.74162	32157.07944	21011.45046	16432.86536	10694.29864	11533.54365	8850.902353	3557.050063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9P2N7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
