Uniprot ID	P631_1st_1	P631_1st_2	P631_1st_3	P631_1st_4	P631_1st_5	P631_1st_6	P631_1st_7	P631_1st_8	P631_1st_9	P631_1st_10	P631_1st_11	P631_1st_12	P631_1st_13	P631_1st_14	P631_1st_15	P631_1st_16	P631_1st_17	P631_1st_18	P631_1st_19	P631_1st_20	P631_1st_21	P631_1st_22	P631_1st_23	P631_1st_24	P631_1st_25	P631_1st_26	P631_1st_27	P631_1st_28	P631_1st_29	P631_1st_30	P631_1st_31	P631_1st_32	P631_1st_33	P631_1st_34	P631_1st_35	P631_1st_36	P631_1st_37	P631_1st_38	P631_1st_39	P631_1st_40	P631_1st_41	P631_1st_42	P631_1st_43	P631_1st_44	P631_1st_45	P631_1st_46	P631_1st_47	P631_1st_48	P631_1st_49	P631_1st_50	P631_1st_51	P631_1st_52	P631_1st_53	P631_1st_54	P631_1st_55	P631_1st_56	P631_1st_57	P631_1st_58	P631_1st_59	P631_1st_60	P631_1st_61	P631_1st_62	P631_1st_63	P631_1st_64	P631_1st_65	P631_1st_66	P631_1st_67	P631_1st_68
Q9NR30	512976.3674	3864585.01	7216193.653	10567802.3	13919410.94	17271019.58	12703251.82	1366447.11	2007361.162	2137508.352	1703511.972	32241089.24	19712354.63	13487193.41	7262032.181	1451122.337	1535915.629	54691482.36	938955.5591	2393507.408	3950922.145	19466925.22	15973657.47	14835138.02	11552622.24	19629349.19	37142363.05	17847408.2	23948764.02	9998041.072	12111958.87	10885610.16	7055603.636	9193719.18	5224952.325	7337413.991	6847620.566	6357827.141	3833396.686	8212726.792	7019256.425	3755479.285	3159924.753	3494071.719	1202342.123	1480346.281	2749934.961	1374967.481	0	0	4193461.771	503205.0677	4760601.948	2469586.365	784284.5431	1585621.072	0	0	0	0	0	0	0	0	411164.8219	0	900252.6666	1800505.333
Q9NR28	14410699.29	14111285.98	13811872.67	13512459.36	13213046.05	12913632.73	118195057.9	128250855.3	264937923.6	551225214.9	254933400.1	48884553	15030535.9	11565724.67	8100913.439	3231202.393	760845.7925	5389956.856	12060639.87	0	7073791.297	0	6565233.94	5104295.327	3582603.742	4276545.929	3357942.559	0	1299054.377	1216358.147	500056.6628	1076698.276	236675.721	0	0	0	200499.9858	400999.9716	0	0	456389.4103	1440901.265	0	0	0	0	1765468.084	882734.0419	0	0	1129321.616	0	0	0	7454607.744	0	0	933726.958	0	0	0	0	874806.8079	0	212556.6902	603875.3165	1627978.363	2652081.41
Q9NR12	0	131164.7997	262329.5993	393494.399	524659.1987	655823.9984	1657635.214	2150922.806	0	1880890.859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NR09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61208.3658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103599.3898	0	144865.9834	91011.39208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NQZ5	854128.5339	10465463.39	20076798.25	29688133.11	39299467.97	48910802.83	126048023.2	88693693.76	66034645.72	45669975.31	48524454.18	49503776.79	37181538.2	27818884.6	18456231.01	12644781.44	11243797.45	2654330.271	3761050.837	543386.5861	997088.6079	432118.5814	1489926.428	0	1307262.718	1187791.994	0	937212.6921	2300202.178	2999923.937	0	0	3869445.923	0	0	0	0	0	0	1494480.371	8441402.192	9426380.685	1607373.177	1118077.313	1014123.728	2551613.559	2552906.654	1889014.868	1225123.082	783165.7349	1574596.033	7617622.033	7008574.337	5137696.53	702195.5058	794466.2598	2161042.679	188769.3662	0	0	591545.9377	895766.1896	100985.0892	0	144916.5828	0	250188.5627	500377.1254
Q9NQX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1736795.11	0	0	0	0	0	0	0	0	0	0	0	1653182.47	2859763.695	2059478.508	1259193.321	0	0	1136405.528	851137.5492	0	0	0	0	281641.6905	140820.8453	0	477444.3685	1203421.576	790024.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NQW8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234404371.7	0	0	0	0	0	0	0	0	1122406.37	1272686.485	757135.1724	785414.5956	819147.5059	665325.4348	664313.4475	640250.6381	509147.6821	502108.7481	327822.0448	0	159292.4247	318584.8495	0	0	1538558.04	1808927.317	0	971395.3745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NQW7	126993.1631	101594.5305	76195.89786	50797.26524	25398.63262	0	0	0	0	0	0	0	73363.45782	719961.5052	1366559.553	599984.7875	0	0	5242937.588	23715945.1	21124953.99	600726.9115	0	4163428.236	0	0	1361179.153	552606.9149	0	0	0	0	2327627.034	391127.4731	459807.6786	518812.1609	259406.0805	0	0	7592715.901	4110861.118	0	0	0	0	0	0	1968118.543	3936237.085	0	0	0	0	0	0	0	0	0	0	149403.0599	0	0	0	0	0	0	0	0
Q9NQS3	1395642.943	1404211.103	1412779.262	1421347.421	1429915.58	1438483.74	1026042.689	1135281.097	0	0	0	0	0	148509.1377	297018.2755	0	0	0	2075867.08	0	0	0	0	0	0	0	1322892.3	2806803.026	0	8562480.851	13788833.09	40015440	46799802.92	15521524.03	0	0	0	0	0	2207706.538	1345662.015	1292026.687	5573801.217	509541.2327	1027729.335	0	529336.8289	553928.1206	578519.4122	0	0	325646.272	0	0	0	0	0	568736.8682	0	0	0	0	0	0	0	0	0	0
Q9NQR4	918221.0635	3955383.885	6992546.707	10029709.53	13066872.35	16104035.17	25818045.14	14519656.59	7596089.192	5173728.901	3834138.81	3046531.575	1832568.465	1180218.956	527869.4473	0	0	5402044.482	0	0	764556.4127	1035825.233	2453900.562	8244997.943	7880794.955	8872711.183	9129137.523	10165693.64	5680790.764	4722157.674	2479368.909	2597602.76	1935763.059	540316.8912	542880.5924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NQP4	0	0	0	0	0	0	0	0	0	0	5211228.653	2239696.582	0	0	0	0	0	2260273.657	0	0	8404161.059	2058005.504	0	0	0	0	746734.1917	0	0	1040041.847	1121675.49	0	0	0	0	0	0	0	0	0	0	0	0	336913.0641	0	0	0	3282774.39	6565548.781	0	0	0	105780.7846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NQH7	481998.3114	385598.6491	289198.9869	192799.3246	96399.66229	0	0	0	1107378.358	3777917.293	5763829.945	3632753.335	3450258.29	2034712.93	619167.5691	518592.897	248690.2593	1065060.422	1863630.853	730711.0593	2627119.057	9014951.622	21812992.92	30437885.27	35587264.63	36866360.37	34960844.49	50437959.14	47419971.23	32148014.52	23330243	18490469.91	10312712.9	10805865.56	11496940.45	5697511.044	4933997.54	4170484.037	1800072.428	1929241.363	4301637.592	2043146.157	0	1545135.958	568624.4252	818855.154	0	0	0	0	1024243.601	649206.7258	545421.805	1138733.098	254694.7173	0	406228.5727	0	0	0	275597.8774	344086.9297	0	138760.3267	46476.64164	0	4180553.31	8361106.621
Q9NQG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	893247.4656	0	0	811894.9302	1224279.759	1306812.946	1896689.105	2327402.148	1495098.807	0	1607316.956	0	0	0	848382.6949	0	1387041.051	601570.2343	0	2011099.892	288056.5656	503531.1525	1264703.03	1016288.256	767873.4822	0	1585559.229	0	748870.6094	760396.0204	722840.0469	681517.2317	0	0	0	0	405795.667	269008.7156	0	0	0	0	0	0
Q9NQE9	0	593710.4661	1187420.932	1781131.398	2374841.865	2968552.331	3855390.543	3203951.823	4018882.715	0	4834600.709	3999036.52	2900018.301	1450009.151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1433311.36	0	0	0	0	0	0	0	0	0	0	0	0	137753.9615	0	0	1466594.498	0	0	0	0	0	0	0	0	0	0	0
Q9NQC3	0	0	0	0	0	0	0	0	0	533373.5339	0	0	0	0	0	1145794.521	0	2877361.03	0	1164122.736	5968644.933	11742988.3	17757172.66	31013812.87	58735867.16	47912516.7	67070594.64	104270657.8	130518252.2	205044033.7	461111118.2	342108382.1	71414932.48	46395963.76	79913601.91	31420969.1	23354735.9	15288502.71	8757850.623	21034156.24	29663653.14	22584211.58	14656319.86	19569883.69	18286155.3	21510970.93	26081814.01	30684737.09	35287660.17	42139207.81	36782365.43	51506775.16	50452233.79	47985852.05	34354945.2	43750966.26	49894347.67	50618632.61	62830311.59	56378943.09	35989383.41	75745765.9	27123227.66	6755386.356	4087810.296	0	2924134.521	5848269.042
Q9NQ88	0	0	0	0	0	0	394478.2756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534807.1826	0	869578.2068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NQ50	6494771.513	6231689.67	5968607.826	5705525.983	5442444.14	5179362.297	2112248.024	6610975.767	5251145.93	4341313.117	3654735.948	2175491.609	4378812.869	3965483.518	3552154.168	4838142.664	0	10202012.74	69366951.27	90688905.45	132303510.3	138119176.5	100522217.5	68213904.17	28294996.52	15090473.66	10744494.16	9269466.43	9014243.231	6285031.521	4140321.193	2571740.862	898655.9756	1591715.485	820412.49	487980.2809	365608.5265	243236.7721	178880.0013	411046.7567	0	476083.8078	0	0	0	0	0	0	0	0	0	121438.4772	0	0	0	0	425861.1265	2166794.14	27677065.83	90117919.72	79607700.63	26191299.79	5714512.431	1267718.752	508647.3106	0	507916.4309	1015832.862
Q9NQ48	0	0	0	0	0	0	0	0	0	0	0	0	2812144.07	1406072.035	0	1604393.437	1529056.604	0	0	0	1082601.536	3038773.006	1975061.9	3608128.311	2055346.227	1109587.864	0	1188579.096	0	445353.1265	625801.7082	0	0	0	0	0	0	0	0	0	0	0	0	0	316291.0116	0	399493.2349	199746.6175	0	4658008.923	0	0	0	0	2282143.827	0	0	0	5650262.481	0	0	2997562.634	1435616.442	410996.1573	0	0	0	0
Q9NQ29	0	0	0	0	0	0	0	0	0	0	0	0	0	735293.113	1470586.226	744372.888	2208156.31	0	0	0	0	0	0	0	1049599.505	1334305.268	1247443.024	1375740.526	675726.4155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165830.9872	87688.70041	122495.4417	139434.9849	0	0	0	0	0	0	0	0	0	0	0
Q9NQ11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127577.8669	1725753.204	3323928.541	1072031.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NPR9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	624621.0563	6187234.192	0	0	0	0	0	0	0	0	0	0	0	0	0	161563.774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
