Uniprot ID	P1_2nd_1	P1_2nd_2	P1_2nd_3	P1_2nd_4	P1_2nd_5	P1_2nd_6	P1_2nd_7	P1_2nd_8	P1_2nd_9	P1_2nd_10	P1_2nd_11	P1_2nd_12	P1_2nd_13	P1_2nd_14	P1_2nd_15	P1_2nd_16	P1_2nd_17	P1_2nd_18	P1_2nd_19	P1_2nd_20	P1_2nd_21	P1_2nd_22	P1_2nd_23	P1_2nd_24	P1_2nd_25	P1_2nd_26	P1_2nd_27	P1_2nd_28	P1_2nd_29	P1_2nd_30	P1_2nd_31	P1_2nd_32	P1_2nd_33	P1_2nd_34	P1_2nd_35	P1_2nd_36	P1_2nd_37	P1_2nd_38	P1_2nd_39	P1_2nd_40	P1_2nd_41	P1_2nd_42	P1_2nd_43	P1_2nd_44	P1_2nd_45	P1_2nd_46	P1_2nd_47	P1_2nd_48	P1_2nd_49	P1_2nd_50	P1_2nd_51	P1_2nd_52	P1_2nd_53	P1_2nd_54	P1_2nd_55	P1_2nd_56	P1_2nd_57	P1_2nd_58	P1_2nd_59	P1_2nd_60	P1_2nd_61	P1_2nd_62	P1_2nd_63	P1_2nd_64	P1_2nd_65	P1_2nd_66	P1_2nd_67	P1_2nd_68
A4D2P1	0	7222418.821	14444837.64	37013521.05	37532452.37	11361501.51	126768482.5	103136110	37531755.66	57418837.45	89861054.08	57323411.75	37356534.65	89074969.23	69748597.53	59790185.4	38076345.24	48698605.06	39409229.95	36141163.87	21058280.95	17937533.71	8717853.953	10112433.82	31253263.29	43078891.2	7743368.206	36605799.6	14843838.17	11878842.4	8913846.624	10699667.07	8213325.381	5726983.689	6423216.542	7140933.391	7858650.24	8576367.089	9294083.938	2911300.795	3638477.329	3107341.515	2128826.843	718335.4825	472587.8687	291946.9158	382495.626	473044.3361	2435133.261	1899985.339	309580.9708	458461.4051	2656015.416	328800.6493	1249134.952	1686373.027	901955.4856	2081851.546	294205.228	0	0	215003.3356	0	319959.5972	1098092.304	497933.8197	0	0
A4QPA9	0	0	0	0	0	0	2052277.266	20032358.54	53621701.68	58098445.28	36959513.75	106311008.7	82512722.34	106388680.2	37438900.58	34388569.44	7725349.757	36850850.5	14831825.87	14305831.32	6344656.106	8918363.248	7890470.82	1559436.661	8241133.853	6807321.816	8032023.752	5727944.673	2280198.628	2194166.542	2108134.457	3590139.838	3734239.377	3878338.917	7010137.473	7837112.187	8664086.902	9491061.617	10318036.33	7457379.39	6344103.54	11226862.85	7829760.66	8755620.621	593623.7939	859263.7748	1180448.626	1501633.478	0	1256342.332	773087.5415	609744.2992	0	0	180876.394	517297.6458	238436.9285	0	0	1191925.177	674850.9599	628075.0675	825581.2883	1791929.904	3207603.37	1710839.678	0	0
A5PHJ9	0	0	0	259105.2902	0	0	300884.0663	0	0	0	0	0	0	0	0	0	0	0	0	0	4108446.517	2282817.309	0	1113852.441	0	0	0	3671439.078	0	0	0	573659.3529	557839.155	542018.9572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1194478.992	0	0	208999.5885	797184.2133	0	707476.3641	0	0	0	0
A5PLK7	0	0	0	0	0	0	0	0	0	0	0	0	0	561238.6356	953416.1746	1467590.623	4046126.71	10654188.51	9716436.372	11900584.66	16074113.81	11268977.97	6475349.919	22537715.7	13917497.71	20431395.1	4962761.225	6209397.619	7045453.632	14340606.92	21635760.22	6736641.448	5521116.908	4305592.369	8714034.042	8716488.755	8718943.468	8721398.182	8723852.895	5587881.266	10412404.95	3565490.6	1269339.639	7961031.064	598957.2546	4153348.491	4010027.348	3866706.206	1310637.923	1300811.863	1521213.526	689938.4075	320464.1137	145113.3773	332548.4866	0	0	2142994.148	0	217449.0396	0	153428.2907	0	0	0	0	0	0
A5YKK6-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1118272.967	1122133.72	0	860227.1612	689674.137	507639.7573	0	474774.1072	407320.2432	428478.7067	708485.3973	996758.952	492816.5803	495363.1877	1591893.893	3414183.682	374877.4259	0	0
A5YM53	0	190707.2595	381414.5191	0	653012.6003	887516.7021	0	0	14649318.2	2031351.841	0	0	0	0	0	0	5935276.955	3069863.142	1625095.888	3279117.391	23575818.58	14017872.49	1848380.502	0	0	10542786.45	0	0	2395348.527	9804991.04	17214633.55	16000709.05	11186917.15	6373125.255	5526282.197	4643762.611	3761243.026	2878723.44	1996203.854	17382397.32	145555189.7	253437959.6	116627747.7	30137385.58	4199211.448	13908601.41	227201403.6	440494205.8	0	992215.9005	1087617.579	0	0	2516350.817	1878286.322	1925259.216	1011243.382	2023832.142	157301.0559	595065.2697	147844.9741	351239.6239	231587.5156	446136.7863	810806.1605	0	0	0
A6H8X9	0	0	0	0	31152696.32	0	0	0	0	0	0	1991783.328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	777411.9691	374687.6316	736546.1278	0	538247.0953	0	269435.8674	326362.1526	383288.4377	389006.292	255693.7973	138376.88	217655.6512	239835.1601	358062.6097	0	0	0	0	0	108226.0094	0	431313.6093	0	1139967.179	3185661.705	1270660.992	177652.2929	177652.2929
A6NCN2	0	0	0	0	861762.333	8372572.429	324356.0986	0	0	235433.8538	243921.7443	465716.8337	744810.5895	771742.164	350494.8613	0	0	320007.6464	0	343671.8755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NCS6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NDB9	0	0	0	0	0	0	930953.1754	0	0	0	1823370.896	0	0	0	0	0	0	0	0	0	0	1807851.005	3366759.125	705001.8305	1241230.86	2324860.356	0	2858446.679	2425763.668	3114356.698	3802949.728	1142153.417	1764750.876	2387348.335	1358542.972	2622567.169	3886591.366	5150615.563	6414639.76	10500863.52	11242505.27	15517584	13549801.24	23050643.27	8807609.851	9616926.487	8097337.024	6577747.561	5810901.61	1015543.785	346915.1962	1024312.764	0	0	1059484.775	0	0	0	0	0	0	0	0	0	0	0	0	0
