Uniprot ID	iBAQ WT_4_72	iBAQ WT_4_01	iBAQ WT_4_02	iBAQ WT_4_03	iBAQ WT_4_04	iBAQ WT_4_05	iBAQ WT_4_06	iBAQ WT_4_07	iBAQ WT_4_08	iBAQ WT_4_09	iBAQ WT_4_10	iBAQ WT_4_11	iBAQ WT_4_12	iBAQ WT_4_13	iBAQ WT_4_14	iBAQ WT_4_15	iBAQ WT_4_16	iBAQ WT_4_17	iBAQ WT_4_18	iBAQ WT_4_19	iBAQ WT_4_20	iBAQ WT_4_21	iBAQ WT_4_22	iBAQ WT_4_23	iBAQ WT_4_24	iBAQ WT_4_25	iBAQ WT_4_26	iBAQ WT_4_27	iBAQ WT_4_28	iBAQ WT_4_29	iBAQ WT_4_30	iBAQ WT_4_31	iBAQ WT_4_32	iBAQ WT_4_33	iBAQ WT_4_34	iBAQ WT_4_35	iBAQ WT_4_36	iBAQ WT_4_37	iBAQ WT_4_38	iBAQ WT_4_39	iBAQ WT_4_40	iBAQ WT_4_41	iBAQ WT_4_42	iBAQ WT_4_43	iBAQ WT_4_44	iBAQ WT_4_45	iBAQ WT_4_46	iBAQ WT_4_47	iBAQ WT_4_48	iBAQ WT_4_49	iBAQ WT_4_50	iBAQ WT_4_51	iBAQ WT_4_52	iBAQ WT_4_53	iBAQ WT_4_54	iBAQ WT_4_55	iBAQ WT_4_56	iBAQ WT_4_57	iBAQ WT_4_58	iBAQ WT_4_59	iBAQ WT_4_60	iBAQ WT_4_61	iBAQ WT_4_62	iBAQ WT_4_63	iBAQ WT_4_64	iBAQ WT_4_65	iBAQ WT_4_66	iBAQ WT_4_67	iBAQ WT_4_68	iBAQ WT_4_69	iBAQ WT_4_70	iBAQ WT_4_71
Q9UJZ1;A0A087WYB4	0	2953800	5939700	0	23529000	53439000	74293000	176220000	269630000	352230000	313820000	306400000	372990000	208860000	23582000	3063400	5195700	2258900	1178100	1776200	0	1316100	583960	0	0	50600	0	148380	0	0	0	0	0	0	0	0	0	0	69945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41539	690820	2072800	0	4182000	4647100	1139700	0	0	0
Q9UKA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465060	518800	180910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UKU7;E9PLS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144640	1387100	2629900	1136600	0	0	0	0	0	0	0	22786	0	377650	172710	0	0	0	0	0	0	0	0	0	0
Q9UL12;Q5SYV2;A0A0A0MT55;Q5SYV1;Q5SYU9;Q9UL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9ULD0	0	0	0	0	46191	5262100	5325600	245490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	521060	632230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UQ90;H3BTR8;H3BMP1;H3BUN3;H3BTY6;J3KRF6;A0A087X0F5	0	0	0	0	0	0	221490	2318600	2565700	3840800	998370	859300	1083400	2241100	483680	71036	0	0	0	0	0	0	0	0	28240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y241;C9JAW5;C9JNU6;A8MV81	0	5190900	5335800	0	5893000	6109900	7346000	18570000	10085000	9290000	0	6680300	5330600	13728000	4488200	2097200	3399600	0	3049200	3658000	0	3065400	3054900	4016400	0	0	3764700	0	0	0	0	0	0	9117200	0	30435000	17157000	29123000	7521700	0	0	0	0	0	0	1098900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2124700	1862600
Q9Y276;C9J8G3;H7C492;C9JAS4;C9J1S9;C9J4Q9;H7BZF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1486000	1370400	3445000	12734000	20289000	83610000	99965000	276640000	151040000	988010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y277;E5RJN6;E5RHZ6;E5RHE1;E5RK27;E5RFL1	0	5334600	4166900	0	5728000	13335000	5895200	20983000	28478000	37325000	14322000	13784000	14929000	23723000	31165000	35683000	50031000	69667000	74568000	85277000	19563000	78789000	74096000	90858000	82070000	102480000	143980000	175960000	250060000	263040000	385370000	448170000	691140000	1378200000	700500000	371050000	162320000	128680000	29221000	17151000	34021000	34430000	63372000	62479000	42520000	11953000	7235900	3733800	57070	2019400	756810	0	0	662910	433170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y291;C9JBY7	0	0	0	0	0	0	0	0	637540	1260200	1991900	9104700	20797000	33874000	38755000	43574000	66019000	81757000	85047000	53213000	8924100	25522000	9076400	17725000	16479000	11903000	11139000	8058000	5002500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
