Uniprot ID	iBAQ WT_5_01	iBAQ WT_5_02	iBAQ WT_5_03	iBAQ WT_5_04	iBAQ WT_5_05	iBAQ WT_5_06	iBAQ WT_5_07	iBAQ WT_5_08	iBAQ WT_5_09	iBAQ WT_5_10	iBAQ WT_5_11	iBAQ WT_5_12	iBAQ WT_5_14	iBAQ WT_5_15	iBAQ WT_5_16	iBAQ WT_5_17	iBAQ WT_5_18	iBAQ WT_5_19	iBAQ WT_5_20	iBAQ WT_5_21	iBAQ WT_5_22	iBAQ WT_5_23	iBAQ WT_5_24	iBAQ WT_5_25	iBAQ WT_5_26	iBAQ WT_5_27	iBAQ WT_5_28	iBAQ WT_5_29	iBAQ WT_5_30	iBAQ WT_5_31	iBAQ WT_5_32	iBAQ WT_5_33	iBAQ WT_5_34	iBAQ WT_5_35	iBAQ WT_5_36	iBAQ WT_5_37	iBAQ WT_5_38	iBAQ WT_5_39	iBAQ WT_5_40	iBAQ WT_5_41	iBAQ WT_5_42	iBAQ WT_5_43	iBAQ WT_5_44	iBAQ WT_5_45	iBAQ WT_5_46	iBAQ WT_5_47	iBAQ WT_5_48	iBAQ WT_5_49	iBAQ WT_5_50	iBAQ WT_5_51	iBAQ WT_5_52	iBAQ WT_5_53	iBAQ WT_5_54	iBAQ WT_5_55	iBAQ WT_5_56	iBAQ WT_5_57	iBAQ WT_5_58	iBAQ WT_5_59	iBAQ WT_5_60	iBAQ WT_5_61	iBAQ WT_5_62	iBAQ WT_5_63	iBAQ WT_5_64	iBAQ WT_5_65	iBAQ WT_5_66	iBAQ WT_5_67	iBAQ WT_5_68	iBAQ WT_5_69	iBAQ WT_5_70	iBAQ WT_5_71	iBAQ WT_5_72
O60220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1260900	0	0	0	0	0	0	0	0	0	0	0	0
O60488	0	335490	158860	0	259640	0	0	0	138570	0	0	153880	164700	247810	0	0	0	0	0	0	140020	180040	205800	471690	0	0	0	0	0	0	0	0	0	347770	252670	0	469870	0	0	0	654240	367530	412240	0	152640	400320	2399900	4128300	3925000	3826800	7042700	0	9808900	6462200	9247200	1852200	502820	39657	0	38544	157410	0	0	0	0	0	0	0	0	0	0
O60783	0	0	0	0	0	0	0	1484100	2173200	8718600	6690100	14627000	149580000	121800000	70646000	38727000	18512000	19888000	14172000	21981000	10355000	13050000	10354000	18503000	6687600	2693900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60830;V9GYS0	0	0	0	5647500	11496000	0	5722400	4115100	10982000	7209200	10020000	3337700	10152000	7437400	4316700	1648300	0	1753300	0	0	1445600	0	0	0	1250200	2370300	4567500	1261500	1377500	1653500	0	5654000	5491100	6496700	7258200	31122000	16435000	19196000	15429000	4740200	5929000	22056000	10637000	3884400	11971000	2570500	10177000	3273800	1356800	844790	1650500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75027;A0A087WW65;B4DGL8	0	0	0	0	0	0	0	0	0	147420	547220	381390	3489500	1077000	208120	0	0	0	0	0	0	112990	0	4933100	0	531660	289430	596550	981000	1163400	2812800	3248900	4444200	10221000	9840800	55428000	53436000	98484000	65059000	39684000	5196200	135050	0	0	0	0	0	0	0	0	0	0	0	116490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75208;H3BNT2;H3BSJ5;H3BPY0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1304300	0	0	1483300	1432600	1891400	0	2220300	0	1713300	1488500	2108200	1119800	880050	531080	464000	0	388890	0	0	0	0	0	0	0	0
O75251;F5H5N1;F5GXJ1	0	1408700	3292500	10286000	22017000	4608700	10029000	11437000	26981000	56035000	104800000	135630000	12054000	11512000	8213600	15018000	8086700	6679100	11538000	17512000	2290800	1564900	1386000	3285000	5431600	2838500	9900700	12772000	9225700	9073000	2297900	0	0	3064900	1851500	3396800	0	1870700	799430	1041900	5572300	8633100	2062100	0	0	0	635080	484340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75306	0	1531400	3379200	27329000	43840000	17925000	18968000	20622000	43883000	118790000	135050000	257820000	42780000	21669000	18072000	14322000	16394000	13806000	18846000	34182000	6837900	2981100	2866900	13304000	11192000	7135300	19251000	29642000	21174000	15153000	20181000	3293800	3256100	3804500	1997600	4678800	874800	1899100	1523800	2361800	9130900	10899000	3456000	0	0	878470	2248400	0	50109	0	223330	0	2009000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75323;F8WBI5	0	5284400	0	0	783530	0	0	781240	688570	606890	922050	0	0	1484000	685700	0	339260	0	0	0	0	0	1234400	0	898890	796320	870060	2155300	785600	0	1090700	1187000	719650	2583600	1439200	10845000	6033700	8784100	7655900	10496000	16665000	14112000	4591800	6235600	7772900	8322300	14481000	5877500	16264000	36887000	42125000	0	69115	0	0	0	0	0	0	0	0	0	463350	0	0	0	0	0	0	0	0
O75380;D6RBT3	0	0	1456400	7390500	3622000	5157400	0	4949100	2625100	37713000	56191000	84026000	4032300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
