Uniprot ID	P1_1st_1	P1_1st_2	P1_1st_3	P1_1st_4	P1_1st_5	P1_1st_6	P1_1st_7	P1_1st_8	P1_1st_9	P1_1st_10	P1_1st_11	P1_1st_12	P1_1st_13	P1_1st_14	P1_1st_15	P1_1st_16	P1_1st_17	P1_1st_18	P1_1st_19	P1_1st_20	P1_1st_21	P1_1st_22	P1_1st_23	P1_1st_24	P1_1st_25	P1_1st_26	P1_1st_27	P1_1st_28	P1_1st_29	P1_1st_30	P1_1st_31	P1_1st_32	P1_1st_33	P1_1st_34	P1_1st_35	P1_1st_36	P1_1st_37	P1_1st_38	P1_1st_39	P1_1st_40	P1_1st_41	P1_1st_42	P1_1st_43	P1_1st_44	P1_1st_45	P1_1st_46	P1_1st_47	P1_1st_48	P1_1st_49	P1_1st_50	P1_1st_51	P1_1st_52	P1_1st_53	P1_1st_54	P1_1st_55	P1_1st_56	P1_1st_57	P1_1st_58	P1_1st_59	P1_1st_60	P1_1st_61	P1_1st_62	P1_1st_63	P1_1st_64	P1_1st_65	P1_1st_66	P1_1st_67	P1_1st_68
IWS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	738522.9228	0	0	0	0	0	0	0	0	0	0	0	1592874.738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STXBP1	0	204622.9294	409245.8588	613868.7882	818491.7176	1023114.647	0	0	0	0	0	0	0	755776.6963	1511553.393	13324906.15	21489262.11	17396512.35	22661586.07	16439763.89	11699554.06	6959344.226	19244053.7	21866684.14	15285262.38	22953239.67	6940384.411	2146530.927	165690.8188	0	537858.2388	998512.3811	2250576.755	0	1273162.429	641267.1436	362909.2976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403513.1021	0	0	509856.3994	0	0	0	0	0	0	0	0	0
ADSL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1644965.893	847789.2392	0	0	0	0	0	0	0	23463221.18	74044620.11	74459074.63	67954959.33	67404555.99	80124158.37	65093585.35	49999900.13	35368415.87	19533387.08	12614100.73	3917095.647	3030408.646	0	0	0	0	0	500598.2771	0	0	409450.1289	0	0	247205.5153	0	71693.58022	143387.1604	891259.1945	0	0	133924.313	0	0	0	0	0	0	0	0	0	0	0
DPYSL2	0	0	0	0	0	0	1258353.982	0	0	0	122345.9732	1240486.034	4293562.294	15592497.83	26891433.37	28189947.59	30573675.25	30392334.34	31677632.41	22772126.23	20004249.04	17236371.86	2849988.996	11741892.34	3405681.063	5754514.475	20229748.01	7621277.228	5232067.484	9320563.505	47359993.17	392345520.4	631813702.2	763474927.4	592074155.9	419714190.6	258440735.9	121137413	54844229.72	39077260.64	22761605.63	18433615.41	14105625.18	9211410.924	3017454.099	4181049.948	2606160.307	108534.9929	0	2368612.128	505466.1842	252733.0921	0	61220.75581	598490.9787	182284.9227	0	1265200.898	0	661170.9693	0	157228.8495	0	0	0	0	0	15648274.04
HLA-B	0	145514.0264	291028.0528	436542.0791	582056.1055	727570.1319	1904852.989	0	827680.6884	0	1402139.219	1817276.156	4466793.819	10928582.21	17390370.6	14287148.07	29273386.75	63105591.23	51002814.1	95962712.98	222189079.2	348415445.5	423236769.7	514185310.9	196597593.1	104127376	23401439.7	32917845.48	15191418.68	17636779.96	23328682.69	26170744.28	24687215.47	22706898.55	17504447.96	8968868.591	7167424.507	10307759.14	6600256.463	14707835.33	6192580.618	5597274.251	5001967.885	6000798.727	3040315.064	4505304.878	2176034.084	792490.7246	2272550.578	3382399.273	2104425.806	2145404.939	2186384.073	2422011.249	1190248.778	665481.5693	35535.72175	700421.3136	1927054.285	2045066.911	242246.6193	646658.237	1010272.699	538677.1391	0	0	0	1559550.047
VDAC1	8428439.915	7309819.888	6191199.861	5072579.834	3953959.807	2835339.78	708132.6244	69535903.15	60735420.92	14680493.16	45375604.5	101594881.5	298733642.6	540136265.8	781538889	505476409.1	414896793.8	507261805	1243715958	2082829131	2584368120	3085907109	771214240	694803794.3	500840421.3	353927747.4	587000329.6	942355386	793746064.5	650420401.2	347387953.1	405967835.2	747542540.5	972305935	423015552.9	606808162	654453200.7	1368403156	4834900870	11782678449	8374081430	5469039475	2563997521	2737051527	3258522548	2852650911	2000733220	1699698968	1331023032	1974271277	1736133081	1846104049	1956075018	1298564203	1181446623	920507570.7	784823088.5	750310161.8	856563641.7	496641692.2	530881345.1	627064228.5	417929568.1	2882517.534	9306562.585	19689273.84	11037808.72	553381710.2
REEP6	163518.4584	130814.7667	98111.07506	65407.38337	32703.69169	0	0	1611641.202	0	0	0	363239.1324	2898793.177	8775937.965	14653082.75	6903215.438	5916781.835	21819369.9	68730753.59	26872211.96	16256762.42	5641312.888	0	2320899.814	3006842.516	3044944.126	3168802.79	3134568.209	3757614.822	2547575.955	4281028.57	1856401.39	0	1705439.402	0	816875.7545	1442481.431	456457.2785	491510.7589	2039744.059	0	154049.9242	308099.8484	1406904.764	632805.1743	500154.7061	664014.373	921342.4054	1344645.597	2755064.808	0	0	0	5177076.057	720165.9087	1194684.487	1003744.244	2757464.641	5704891.394	5523027.295	6698581.362	5184321.049	10044380.34	0	0	224901.8569	0	4585727.708
GALNT2	0	0	0	0	0	0	493967.4597	0	0	0	0	0	0	0	0	2584562.95	5023998.577	8571576.856	6249915.01	37354567.46	48448783.62	59542999.78	62338509.16	79726764.27	79094982.72	68609488.11	23974510.65	21042301.8	20051534.85	19754524.27	30142899.59	30502089.72	31092778.4	26598380.81	23973305.05	27878310.54	17261484.8	9807740.916	10046427.59	13203743.03	4713578.511	3798861.236	2884143.961	7651997.361	3829769.034	3504586.016	2710696.337	3931733.489	4528893.755	5013580.345	3707684.654	4207225.185	4706765.716	3070568.879	649023.9488	2270787.668	1976870.717	1539987.429	599594.2194	2504765.669	2326154.424	464282.3254	998444.1394	0	0	0	0	8272712.383
STRN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	935070.3583	0	0	0	1365402.444	0	0	817148.7212	0	0	0	0	0	6450886.781	5139622.743	3828358.706	3481577.194	2830449.126	808652.631	857877.6354	0	0	0	724794.9699	1195526.135	1666257.3	2640953.332	8940047.851	15884845.22	13833386.34	10625003.37	5142466.147	1653837.312	1578942.06	0	410223.5347	0	0	0	0	0
UBE2V2	0	1130059.609	2260119.217	3390178.826	4520238.435	5650298.043	5170786.448	4798755.511	0	985773.9326	0	0	0	586935.3862	1173870.772	0	0	0	0	0	0	0	0	0	0	2468142.63	0	0	1797713.538	2075116.001	0	0	9863994.815	8096876.3	8289659.069	12457520.17	12376767.51	28024586.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMU1	0	0	0	0	0	0	0	0	0	0	288343.8797	1143537.342	8435923.754	14016217.2	19596510.64	7350994.648	6501669.971	581362.315	0	0	0	0	0	0	0	0	0	0	0	0	0	130910.3051	0	0	0	0	0	0	0	0	2785511.974	2384535.188	1983558.402	2844654.771	1808859.681	0	0	1819095.934	0	0	0	0	0	0	1099237.113	0	0	0	0	0	0	1083257.184	0	243418.1017	0	0	0	0
SHTN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5165895.793	8557848.903	19173639.65	0	0	7834145.8	15668291.6	0	0	0	0	0	5987753.191	0	0	0	0	0	436678.5625	763840.5891	5853885.746	6754562.294	9034630.831	6502409.256	26246776.89	23489926.42	15416138.56	7342350.701	6874326.456	4307074.148	2287290.783	0	2181356.936	0	1097201.236	372474.5076	186237.2538	0	0	0	0	0	0	1142024.651	946853.4232	0	0	620305.5717	548037.624	0	0	0	6396714.255
MRPL1	0	0	0	0	0	0	0	71538.89906	9885718.419	14275433.25	14844898.76	17729145.09	16060988.4	22955139.06	29849289.73	9240288.532	14171728.63	8816996.714	5608431.767	3494543.114	2516344.009	1538144.904	1924529.342	556590.5822	4327091.71	2231412.214	2632309.384	0	0	0	1344588.729	641244.3964	0	0	0	1807039.902	1269977.817	1232331.152	1254168.492	0	0	246614.0874	493228.1748	0	0	0	0	0	0	0	0	0	0	1779402.019	0	0	0	4208055.458	34824563.74	283273522.3	281983504.1	135481235.7	79921150.72	974570.9222	0	363409.7367	0	25743301.09
TMEM223	0	0	0	0	0	0	962332.9128	481934.1754	476372.4778	1107551.225	13241162.23	19853326.86	35108221.69	25552093.57	15995965.44	38678262.86	36535724.07	17775936.14	3368409.727	2473203.889	3882616.534	5292029.18	18583349.05	16803378.35	1159767.49	2465458.457	0	302924.8537	376591.7561	315469.9507	1089762.892	603802.4568	2398388.251	0	953052.0432	692459.7833	0	0	0	1415446.349	2109919.262	2119330.928	2128742.594	1704222.426	0	0	1069915.934	0	0	6784361.164	5106184.316	4064787.721	3023391.126	0	0	0	146128.2016	793434.7346	0	807958.8405	1528090.628	2797431.523	166680.3233	0	0	0	0	0
ILVBL	0	0	0	0	0	0	0	145059.0818	0	0	0	0	0	508923.763	1017847.526	367959.1825	6510598.259	6977996.954	25002810.53	50682601.35	32336903.99	13991206.62	22335788.87	23925683.72	19408254.57	22977738.43	28599750.3	43361234.97	31155560.75	50760431	33411016.79	9429750.206	18866608.92	14832126.2	15224231.56	14300819.16	10760758.84	17842687.88	5442104.026	12474023.29	12988099.3	10888461.78	8788824.27	2975929.032	4359517.885	2360051.208	3660711.625	2221301.07	630905.7806	3921747.456	1110093.228	1002552.858	895012.4874	3035037.707	1708794.619	1633285.191	836631.7232	1870732.145	1576701.458	631986.274	0	810915.9804	3417179.787	415307.5405	0	0	0	4581553.591
C17orf89	0	0	0	0	0	0	0	0	0	0	0	372030.9366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QRICH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639822.6945	1279645.389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIPSL	0	0	0	0	0	0	0	0	0	0	0	0	0	325393.4296	650786.8591	637388.741	0	991347.0038	1398499.663	3661166.57	3167096.747	2673026.925	2139831.868	1972867.205	2223427.936	0	821664.0462	602767.4579	439817.6802	0	842523.2556	0	888427.1645	0	0	0	1011284.95	767400.5305	598001.9133	826054.2615	1218341.606	1009436.738	800531.8701	0	0	0	1589576.389	1504956.696	0	1324571.167	0	1058940.396	2117880.792	1663732.357	1415560.085	1051524.799	0	432311.0945	0	0	0	0	0	0	0	0	0	0
NBAS	0	81978.73998	163957.48	245936.2199	327914.9599	409893.6999	0	0	0	589687.801	0	0	139417.7689	69708.88445	0	0	0	0	513177.4949	0	0	0	0	0	1088932.618	159048.6279	0	0	0	0	0	0	0	0	937197.2243	0	0	0	0	0	0	0	0	0	0	1618817.953	3520122.374	1567625.313	2264839.267	4116395.498	2723764.62	5879083.99	9034403.359	8922998.803	11279861.99	15262264.93	17695672.54	11757269.46	5746609.812	3984393.326	3463845.728	1065082.148	177689.9823	0	0	0	0	1169435.063
RAB27A	0	160727.3734	321454.7468	482182.1202	642909.4936	803636.867	14785699.1	4482569.023	10436315.11	5448655.228	6104787.686	4145000.139	1054538.807	801976.3192	549413.8313	374226.0442	0	0	0	0	0	0	0	509230.8506	466238.5871	0	0	0	0	517635.9519	0	0	884116.5645	608840.9681	418378.4165	0	679289.1375	760837.9549	935206.8417	0	1442231.211	1609116.259	1776001.308	2437934.309	2246743.846	0	1078719.112	0	0	592745.0286	501951.7372	250975.8686	0	0	0	0	78300.51299	0	0	0	0	0	367856.82	0	0	0	0	269281.7015
RPL5	0	0	0	0	0	0	854465.551	459494.0336	356392967.1	932515537.4	1260973212	700623195.3	642221651.5	593471421.6	544721191.7	155417260.2	188626964	173310446.9	150231733.5	80506607.54	82724428.28	84942249.03	55161928.9	45281635.69	23760959.66	20817286.2	20878658.23	3626022.1	1576724.205	364080.7799	1144868.055	2825433.362	2905503.609	2597392.387	1235856.973	2252544.39	1700855.836	9034869.677	927995.97	0	1439330.939	719665.4697	0	542032.3554	673465.8468	0	0	0	952733.582	147208.695	0	317158.9325	634317.865	682121.1676	330073.672	1911677.158	0	259329.7886	0	421585.7758	0	0	268076.0983	0	0	0	0	3077017.719
GNPTG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14579836.67	0	0	9573853.904	0	0	0	0	0	0	5421347.179	4105761.168	0	0	0	0	0	3255583.47	0	2280750.954	3144349.518	0	0	0	699477.3036	1398954.607	0	0	534161.814	0	0	0	342948.6038	0	0	0	0	0	0	0	0
VWA8	0	48456.14804	96912.29607	145368.4441	193824.5921	242280.7402	0	0	0	0	0	138905.9562	0	0	0	0	0	0	0	0	0	0	0	960570.0025	2359433.621	2238463.855	1856003.314	655256.6897	0	423894.6196	590586.3165	798609.7293	656473.6664	2654123.977	15367914.44	5887324.173	9016774.256	2607924.355	1987925.87	5540849.749	1230636.483	1564690.921	1898745.358	2645423.162	1449362.468	559581.8429	1431164.684	1484370.454	857843.5146	1594114.462	9789315.66	7757359.684	5725403.708	1285616.537	980143.9934	957248.907	878407.0099	0	1041675.249	0	0	534719.1212	525881.8225	225823.1197	0	0	0	300650.1308
HIST1H2AJ	0	3296178.175	6592356.35	9888534.526	13184712.7	16480890.88	908752951.3	1004592716	638701256.1	183971629.7	178448602.4	93078705.51	80106188.06	79626733.33	79147278.6	31738071.8	42397992.17	46356351.29	19573365.34	54917953.49	52671380.25	50424807	1707179.565	38970553.38	22593685.59	19777578.59	8597656.555	8926922.7	6077718.483	20484562.48	25693086.58	34246875.1	27582278.1	78145604.36	48337976.18	89994977.35	82387393.96	69182286.09	45506059.86	79967429.96	56059409.46	44854692.94	33649976.43	33317866.88	30692290.68	22235075.52	23006661.54	45896447.81	11717097.86	8967901.834	8096102.894	10656201.2	13216299.5	531648.2452	7962417.427	6017097.117	0	2677462.635	4239287.404	9357868.961	11424795.96	12954888.34	4694493.585	0	0	3609416.623	0	100758625.1
DDX1	0	0	0	0	0	0	3431533.289	0	0	0	0	0	1260651.453	630325.7263	0	0	0	0	1168638.91	6797577.304	19038151.46	31278725.62	15573117.19	5639822.944	1832721.524	634215.5025	1790320.689	0	0	0	0	436940.1556	671031.8933	9851051.641	29925026.63	57715134.79	151270326.5	230879487.6	172404891.1	87924752.01	40772429.66	31425706.85	22078984.03	10214222.53	4992641.521	4579972.659	4768240.103	3379214.661	1484825.398	5481070.03	2055451.021	1991025.18	1926599.34	2611006.604	2266158.607	1403879.382	1297979.656	325137.5232	349624.9157	0	465510.6758	476793.3015	0	0	0	218131.1441	54487.57591	14434254.41
