Uniprot ID	KO_2nd_1	KO_2nd_2	KO_2nd_3	KO_2nd_4	KO_2nd_5	KO_2nd_6	KO_2nd_7	KO_2nd_8	KO_2nd_9	KO_2nd_10	KO_2nd_11	KO_2nd_12	KO_2nd_13	KO_2nd_14	KO_2nd_15	KO_2nd_16	KO_2nd_17	KO_2nd_18	KO_2nd_19	KO_2nd_20	KO_2nd_21	KO_2nd_22	KO_2nd_23	KO_2nd_24	KO_2nd_25	KO_2nd_26	KO_2nd_27	KO_2nd_28	KO_2nd_29	KO_2nd_30	KO_2nd_31	KO_2nd_32	KO_2nd_33	KO_2nd_34	KO_2nd_35	KO_2nd_36	KO_2nd_37	KO_2nd_38	KO_2nd_39	KO_2nd_40	KO_2nd_41	KO_2nd_42	KO_2nd_43	KO_2nd_44	KO_2nd_45	KO_2nd_46	KO_2nd_47	KO_2nd_48	KO_2nd_49	KO_2nd_50	KO_2nd_51	KO_2nd_52	KO_2nd_53	KO_2nd_54	KO_2nd_55	KO_2nd_56	KO_2nd_57	KO_2nd_58	KO_2nd_59	KO_2nd_60	KO_2nd_61	KO_2nd_62	KO_2nd_63	KO_2nd_64	KO_2nd_65	KO_2nd_66	KO_2nd_67	KO_2nd_68
H0YIV9	3552020.737	4247061.022	4911311.738	12042423.3	29102724.69	14551362.35	0	22219113.56	65377563.64	113197828.3	931594.2907	0	6981148.245	212863265.6	106431632.8	0	0	0	0	0	0	0	705995.5405	0	0	2546213.425	11864365.05	2686113.805	0	0	0	0	2963661.67	5927323.341	2595247.028	2300220.819	2005194.609	1710168.399	0	0	0	0	0	0	0	0	0	0	0	0	312918.3213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0YJT9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0YKZ9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7787949.806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0YMB3	0	0	0	0	0	0	0	0	0	0	0	308735.0039	537779.3587	0	0	0	320887.3862	0	0	0	0	0	13599536.17	156903113.5	93047226.05	10998148.9	72711091.21	5048252.432	2740845.908	1370422.954	0	0	0	0	0	877230.3076	1754460.615	2631690.923	2367969.65	0	0	0	937602.0115	0	369090.5106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155657.395	0	0	0	0	0	0	0
H0YNA7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	851771.1183	2321763.21	2193569.05	1115624.914	973383.2897	831141.6653	397362.1378	298645.567	199928.9962	330654.3499	220436.2333	110218.1166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662527.9137	0	0	0	0	0	0	0	0	0	0	0	0	0
H0YNG3	0	0	0	0	0	0	0	0	0	14832444.17	0	16422723.2	0	0	0	0	0	0	0	0	0	0	0	35127850.19	343417222.6	440346496.5	298028450.4	158050323.2	116793758.4	125192795.1	133591831.7	155206815.9	145323452.6	135440089.3	104404910.5	109359807.7	114314704.9	119269602	124511338.4	137772056.8	103060373.8	72721516.37	21481444.96	58690868.81	70722756.5	65977319.7	63425186.91	60873054.11	58128144.16	23743307.66	46792414.36	16898039.93	15416474.14	13609872.99	8658450.877	10940677.98	8922348.847	8781255.758	7308436.504	9639653.039	6149962.405	5769726.689	1094553.717	1556618.124	3602114.526	1448037.406	357927.6353	357927.6353
H2KNE8	0	0	0	0	0	0	0	0	522671.7079	1437576.904	2304314.315	3409867.461	3202115.176	4086089.445	4761074.544	5436059.644	4025128.748	3297620.267	3429745.949	2412939.207	1716396.992	0	0	0	0	0	0	7173041.914	540739.0447	10754284.03	20967829.01	0	1277457.893	2554915.785	0	0	0	0	1398650.407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268783.6607	0	0	0	0	0	0	0	0
H3BLU7	0	0	6478001.629	22008445.77	27567831.55	22958434.28	18349037.02	29501928.9	45136845.54	56619676.15	7622958.356	27051264.74	86877871.08	51049282.1	38642366.85	26235451.6	4383780.844	3097956.317	4814569.764	0	470413.372	14766182.54	3224467.431	3200569.071	5144110.918	5351288.936	3527018.017	1445254.417	751848.5859	375924.293	0	838297.921	419148.9605	0	827607.7119	551738.4746	275869.2373	0	1708136.376	842008.572	0	0	0	0	0	0	0	0	982394.8709	0	0	0	0	185554.6407	0	409713.3049	1605740.076	2199090.852	1134354.867	1166204.622	610004.5313	399292.5598	0	245556.752	0	0	0	0
H3BLV0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3815256.091	5218323.94	92315697.7	53486826.46	61928557.64	61942914.33	61957271.01	24221584.08	24666641.34	25111698.59	15324237.96	21505770.34	27687302.73	33868835.12	38166034.11	21615381.8	26106815.7	0	1677170.109	2369339.057	1491584.547	1426966.209	713483.1043	0	0	605472.2361	0	0	0	0	0	110687.8379	0	1091050.686	0	0	0	0	0	0	0	0	0	0
H3BM67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
